IDOrganizzazione_1,IDOrganizzazione_2,similarità_campi dei piani,similarità_macroambiti dei piani,similarità_dimensione dell'organizzazione,similarità_popolazione residente nel comune dell'organizzazione,similarità_azioni eseguite (voci della tassonomia),similarità_composizione statistica dell'organico,similarità_anni di attività,similarità_settore dell'organizzazione,similarità_Media generale,similarità Media Piani delle organizzazioni,similarità Media caratteristiche delle organizzazioni
3,11423582,0.8181818181818182,1.0,0.0,,0.1282051282051282,,0.0,0.0,0.243,0.5,0.0
3,22748378,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,37423000,0.8181818181818182,1.0,0.0,,0.125,,0.0,0.0,0.243,0.5,0.0
3,23037500,0.8181818181818182,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.243,0.5,0.0
3,38176350,0.8181818181818182,1.0,0.0,,0.125,,0.0,0.0,0.243,0.5,0.0
3,22923138,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,11423477,0.8181818181818182,1.0,0.0,,0.12195121951219512,,0.0,0.0,0.243,0.5,0.0
3,24512567,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,38292651,0.8181818181818182,1.0,0.0,,0.1276595744680851,,0.0,0.0,0.243,0.5,0.0
3,24635635,0.8181818181818182,1.0,0.0,,0.11627906976744186,,0.0,0.0,0.242,0.5,0.0
3,24617981,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,21697226,0.8181818181818182,1.0,0.0,,0.11904761904761904,,0.0,0.0,0.242,0.5,0.0
3,24461172,0.8181818181818182,1.0,0.0,,0.11428571428571428,,0.0,0.0,0.242,0.5,0.0
3,16589318,0.8181818181818182,1.0,0.0,,0.11627906976744186,,0.0,0.0,0.242,0.5,0.0
3,22881504,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,22817670,0.8181818181818182,1.0,0.0,,0.11764705882352941,,0.0,0.0,0.242,0.5,0.0
3,53475688,0.7272727272727273,1.0,0.0,,0.20588235294117646,,0.0,0.0,0.242,0.5,0.0
3,46746173,0.8181818181818182,1.0,0.0,,0.12121212121212122,,0.0,0.0,0.242,0.5,0.0
3,39718140,0.8181818181818182,1.0,0.0,,0.11428571428571428,,0.0,0.0,0.242,0.5,0.0
3,38270618,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,11464570,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,23172027,0.8181818181818182,1.0,0.0,,0.10869565217391304,,0.0,0.0,0.241,0.5,0.0
3,24654376,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,24655348,0.8181818181818182,1.0,0.0,,0.10810810810810811,,0.0,0.0,0.241,0.5,0.0
3,22787251,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,12346418,0.8181818181818182,1.0,0.0,,0.10869565217391304,,0.0,0.0,0.241,0.5,0.0
3,37303802,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,12432933,0.8181818181818182,1.0,0.0,,0.1111111111111111,,0.0,0.0,0.241,0.5,0.0
3,24430807,0.8181818181818182,1.0,0.0,,0.10810810810810811,,0.0,0.0,0.241,0.5,0.0
3,24530218,0.8181818181818182,1.0,0.0,,0.11363636363636363,,0.0,0.0,0.241,0.5,0.0
3,33163973,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,38274951,0.8181818181818182,1.0,0.0,,0.1,,0.0,0.0,0.24,0.5,0.0
3,24417143,0.8181818181818182,1.0,0.0,,0.10526315789473684,,0.0,0.0,0.24,0.5,0.0
3,11423678,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,11421014,0.8181818181818182,1.0,0.0,,0.10204081632653061,,0.0,0.0,0.24,0.5,0.0
3,24655546,0.8181818181818182,1.0,0.0,,0.10256410256410256,,0.0,0.0,0.24,0.5,0.0
3,48615138,0.8181818181818182,1.0,0.0,,0.1,,0.0,0.0,0.24,0.5,0.0
